Index,Raw path,Volume,Part,Section,Compile order
201,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0201.tif,Atlas Antarktiki II,,,196
202,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0202.tif,Atlas Antarktiki II,,,197
203,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0203.tif,Atlas Antarktiki II,,,198
204,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0204.tif,Atlas Antarktiki II,,,199
205,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0205.tif,Atlas Antarktiki II,,,200
206,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0206.tif,Atlas Antarktiki II,,,201
207,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0207.tif,Atlas Antarktiki II,,,202
208,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0208.tif,Atlas Antarktiki II,,,203
209,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0209.tif,Atlas Antarktiki II,,,204
210,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0210.tif,Atlas Antarktiki II,,,205
211,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0211.tif,Atlas Antarktiki II,,,206
212,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0212.tif,Atlas Antarktiki II,,,207
213,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0213.tif,Atlas Antarktiki II,,,208
214,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0214.tif,Atlas Antarktiki II,,,209
215,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0215.tif,Atlas Antarktiki II,,,210
216,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0216.tif,Atlas Antarktiki II,,,211
217,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0217.tif,Atlas Antarktiki II,,,212
218,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0218.tif,Atlas Antarktiki II,,,213
219,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0219.tif,Atlas Antarktiki II,,,214
220,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0220.tif,Atlas Antarktiki II,,,215
221,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0221.tif,Atlas Antarktiki II,,,216
222,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0222.tif,Atlas Antarktiki II,,,217
223,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0223.tif,Atlas Antarktiki II,,,218
224,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0224.tif,Atlas Antarktiki II,,,219
225,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0225.tif,Atlas Antarktiki II,,,220
226,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0226.tif,Atlas Antarktiki II,,,221
227,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0227.tif,Atlas Antarktiki II,,,222
228,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0228.tif,Atlas Antarktiki II,,,223
229,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0229.tif,Atlas Antarktiki II,,,224
230,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0230.tif,Atlas Antarktiki II,,,225
231,LZW compression TIFF/Atlas Antarktiki II/Atlas_Antarktiki_II_0231.tif,Atlas Antarktiki II,,,226
